idvente,idmagasin,idclient,datevente,satisfactionclient
v_6220,m_17,c_84,2021-02-09,0
v_6221,m_17,c_28,2021-02-09,1
v_6222,m_4,c_61,2021-02-09,2
v_6223,m_16,c_21,2021-02-09,5
v_6224,m_10,c_12,2021-02-09,1
v_6225,m_2,c_91,2021-02-09,4
v_6226,m_18,c_48,2021-02-09,2
v_6227,m_11,c_8,2021-02-09,0
v_6228,m_21,c_65,2021-02-09,0
v_6229,m_10,c_44,2021-02-09,1
v_6230,m_21,c_51,2021-02-09,5
v_6231,m_23,c_42,2021-02-09,5
v_6232,m_6,c_21,2021-02-09,0
v_6233,m_10,c_4,2021-02-09,5
v_6234,m_9,c_78,2021-02-10,5
v_6235,m_5,c_78,2021-02-10,1
v_6236,m_13,c_40,2021-02-10,4
v_6237,m_15,c_54,2021-02-10,3
v_6238,m_5,c_66,2021-02-10,3
v_6239,m_23,c_93,2021-02-10,3
v_6240,m_9,c_7,2021-02-10,0
v_6241,m_21,c_86,2021-02-10,2
v_6242,m_2,c_83,2021-02-10,4
v_6243,m_5,c_53,2021-02-10,0
v_6244,m_19,c_35,2021-02-10,2
v_6245,m_17,c_5,2021-02-11,3
v_6246,m_6,c_26,2021-02-11,0
v_6247,m_10,c_5,2021-02-11,2
v_6248,m_16,c_22,2021-02-11,3
v_6249,m_5,c_8,2021-02-11,1
v_6250,m_6,c_87,2021-02-11,5
v_6251,m_16,c_83,2021-02-11,2
v_6252,m_2,c_10,2021-02-11,1
v_6253,m_1,c_65,2021-02-11,3
v_6254,m_13,c_13,2021-02-11,1
v_6255,m_20,c_39,2021-02-11,3
v_6256,m_1,c_4,2021-02-11,3
v_6257,m_15,c_9,2021-02-11,4
v_6258,m_18,c_39,2021-02-11,3
v_6259,m_13,c_5,2021-02-11,3
v_6260,m_7,c_44,2021-02-11,5
v_6261,m_4,c_2,2021-02-11,3
v_6262,m_18,c_39,2021-02-11,5
v_6263,m_17,c_85,2021-02-11,4
v_6264,m_4,c_31,2021-02-11,5
v_6265,m_22,c_17,2021-02-11,3
v_6266,m_16,c_48,2021-02-11,2
v_6267,m_16,c_89,2021-02-11,5
v_6268,m_16,c_98,2021-02-11,5
v_6269,m_6,c_68,2021-02-12,3
v_6270,m_22,c_37,2021-02-12,1
v_6271,m_2,c_25,2021-02-12,3
v_6272,m_10,c_86,2021-02-12,3
v_6273,m_9,c_51,2021-02-12,1
v_6274,m_1,c_98,2021-02-12,3
v_6275,m_15,c_12,2021-02-12,5
v_6276,m_21,c_50,2021-02-12,5
v_6277,m_4,c_30,2021-02-12,1
v_6278,m_8,c_86,2021-02-12,3
v_6279,m_16,c_81,2021-02-12,0
v_6280,m_16,c_77,2021-02-12,3
v_6281,m_3,c_61,2021-02-12,0
v_6282,m_2,c_86,2021-02-12,0
v_6283,m_19,c_26,2021-02-12,0
v_6284,m_6,c_94,2021-02-12,4
v_6285,m_20,c_39,2021-02-12,3
v_6286,m_15,c_82,2021-02-12,3
v_6287,m_6,c_27,2021-02-12,3
v_6288,m_4,c_30,2021-02-12,5
v_6289,m_14,c_66,2021-02-12,0
v_6290,m_7,c_6,2021-02-12,5
v_6291,m_5,c_67,2021-02-12,5
v_6292,m_5,c_47,2021-02-12,1
v_6293,m_12,c_13,2021-02-12,1
v_6294,m_7,c_25,2021-02-13,1
v_6295,m_23,c_61,2021-02-13,3
v_6296,m_17,c_58,2021-02-13,0
v_6297,m_16,c_53,2021-02-13,1
v_6298,m_5,c_31,2021-02-13,0
v_6299,m_15,c_32,2021-02-13,5
v_6300,m_23,c_49,2021-02-13,3
v_6301,m_22,c_73,2021-02-13,4
v_6302,m_1,c_82,2021-02-13,3
v_6303,m_3,c_31,2021-02-13,1
v_6304,m_13,c_44,2021-02-13,3
v_6305,m_10,c_11,2021-02-13,3
v_6306,m_3,c_88,2021-02-13,2
v_6307,m_20,c_87,2021-02-13,1
v_6308,m_16,c_9,2021-02-13,3
v_6309,m_14,c_64,2021-02-13,1
v_6310,m_1,c_13,2021-02-13,5
v_6311,m_7,c_23,2021-02-13,2
v_6312,m_23,c_56,2021-02-13,0
v_6313,m_11,c_100,2021-02-13,3
v_6314,m_6,c_10,2021-02-13,0
v_6315,m_8,c_52,2021-02-13,4
v_6316,m_11,c_81,2021-02-13,2
v_6317,m_12,c_63,2021-02-13,3
v_6318,m_9,c_68,2021-02-13,2
v_6319,m_23,c_93,2021-02-13,0
v_6320,m_14,c_16,2021-02-13,2
v_6321,m_14,c_42,2021-02-13,3
v_6322,m_8,c_59,2021-02-14,5
v_6323,m_20,c_72,2021-02-14,0
v_6324,m_19,c_81,2021-02-14,0
v_6325,m_16,c_3,2021-02-14,2
v_6326,m_4,c_18,2021-02-14,0
v_6327,m_1,c_68,2021-02-14,2
v_6328,m_1,c_69,2021-02-14,3
v_6329,m_17,c_16,2021-02-14,4
v_6330,m_5,c_83,2021-02-14,0
v_6331,m_21,c_26,2021-02-15,0
v_6332,m_22,c_19,2021-02-15,2
v_6333,m_19,c_38,2021-02-15,5
v_6334,m_22,c_37,2021-02-15,2
v_6335,m_20,c_41,2021-02-15,2
v_6336,m_11,c_20,2021-02-15,2
v_6337,m_18,c_23,2021-02-16,5
v_6338,m_1,c_48,2021-02-16,1
v_6339,m_3,c_38,2021-02-16,4
v_6340,m_5,c_76,2021-02-16,3
v_6341,m_12,c_6,2021-02-17,2
v_6342,m_10,c_46,2021-02-17,2
v_6343,m_5,c_95,2021-02-17,3
v_6344,m_1,c_6,2021-02-17,2
v_6345,m_6,c_41,2021-02-17,1
v_6346,m_7,c_52,2021-02-17,4
v_6347,m_17,c_60,2021-02-17,4
v_6348,m_15,c_94,2021-02-17,5
v_6349,m_19,c_89,2021-02-17,3
v_6350,m_4,c_13,2021-02-17,4
v_6351,m_8,c_14,2021-02-17,3
v_6352,m_2,c_54,2021-02-17,0
v_6353,m_20,c_45,2021-02-17,2
v_6354,m_19,c_60,2021-02-17,2
v_6355,m_5,c_78,2021-02-17,3
v_6356,m_13,c_63,2021-02-17,3
v_6357,m_22,c_72,2021-02-17,2
v_6358,m_10,c_13,2021-02-17,4
v_6359,m_6,c_46,2021-02-17,3
v_6360,m_18,c_72,2021-02-17,0
v_6361,m_1,c_96,2021-02-17,1
v_6362,m_5,c_60,2021-02-18,3
v_6363,m_1,c_78,2021-02-18,4
v_6364,m_3,c_48,2021-02-18,4
v_6365,m_22,c_43,2021-02-18,4
v_6366,m_20,c_73,2021-02-18,5
v_6367,m_21,c_3,2021-02-18,4
v_6368,m_2,c_33,2021-02-18,3
v_6369,m_5,c_54,2021-02-18,3
v_6370,m_6,c_10,2021-02-18,0
v_6371,m_13,c_74,2021-02-18,4
v_6372,m_7,c_36,2021-02-18,5
v_6373,m_13,c_86,2021-02-18,4
v_6374,m_22,c_38,2021-02-18,0
v_6375,m_21,c_38,2021-02-18,5
v_6376,m_3,c_63,2021-02-18,2
v_6377,m_3,c_63,2021-02-18,5
v_6378,m_16,c_42,2021-02-18,0
v_6379,m_3,c_31,2021-02-18,0
v_6380,m_19,c_97,2021-02-18,5
v_6381,m_14,c_15,2021-02-18,2
v_6382,m_17,c_32,2021-02-18,3
v_6383,m_23,c_23,2021-02-18,2
v_6384,m_1,c_64,2021-02-18,2
v_6385,m_2,c_4,2021-02-18,0
v_6386,m_20,c_39,2021-02-18,4
v_6387,m_10,c_91,2021-02-18,4
v_6388,m_7,c_46,2021-02-18,4
v_6389,m_9,c_81,2021-02-18,4
v_6390,m_6,c_67,2021-02-18,1
v_6391,m_17,c_63,2021-02-18,3
v_6392,m_4,c_75,2021-02-19,5
v_6393,m_11,c_65,2021-02-19,1
v_6394,m_22,c_85,2021-02-19,0
v_6395,m_11,c_33,2021-02-19,2
v_6396,m_1,c_52,2021-02-19,5
v_6397,m_8,c_33,2021-02-19,3
v_6398,m_9,c_33,2021-02-19,3
v_6399,m_20,c_12,2021-02-19,2
v_6400,m_7,c_96,2021-02-19,5
v_6401,m_18,c_61,2021-02-19,2
v_6402,m_8,c_60,2021-02-19,3
v_6403,m_11,c_42,2021-02-19,0
v_6404,m_4,c_61,2021-02-19,4
v_6405,m_6,c_70,2021-02-19,1
v_6406,m_6,c_97,2021-02-19,3
v_6407,m_12,c_33,2021-02-19,2
v_6408,m_3,c_7,2021-02-19,2
v_6409,m_14,c_98,2021-02-19,3
v_6410,m_10,c_46,2021-02-19,5
v_6411,m_17,c_83,2021-02-19,3
v_6412,m_9,c_70,2021-02-19,1
v_6413,m_5,c_90,2021-02-19,1
v_6414,m_17,c_19,2021-02-19,3
v_6415,m_22,c_38,2021-02-19,0
v_6416,m_23,c_27,2021-02-19,4
v_6417,m_18,c_15,2021-02-19,1
v_6418,m_18,c_72,2021-02-19,1
v_6419,m_16,c_42,2021-02-19,2
v_6420,m_3,c_80,2021-02-20,4
v_6421,m_1,c_58,2021-02-20,0
v_6422,m_13,c_81,2021-02-20,3
v_6423,m_19,c_54,2021-02-20,0
v_6424,m_9,c_26,2021-02-20,1
v_6425,m_3,c_53,2021-02-20,1
v_6426,m_19,c_23,2021-02-20,5
v_6427,m_5,c_61,2021-02-20,2
v_6428,m_17,c_1,2021-02-20,0
v_6429,m_21,c_39,2021-02-20,4
v_6430,m_2,c_6,2021-02-20,4
v_6431,m_7,c_77,2021-02-20,1
v_6432,m_21,c_43,2021-02-20,0
v_6433,m_14,c_21,2021-02-20,4
v_6434,m_23,c_51,2021-02-20,4
v_6435,m_23,c_10,2021-02-20,4
v_6436,m_10,c_63,2021-02-20,1
v_6437,m_22,c_1,2021-02-20,3
v_6438,m_10,c_15,2021-02-20,4
v_6439,m_17,c_25,2021-02-20,0
v_6440,m_8,c_42,2021-02-20,1
v_6441,m_1,c_20,2021-02-20,4
v_6442,m_19,c_74,2021-02-21,2
v_6443,m_3,c_70,2021-02-21,4
v_6444,m_20,c_96,2021-02-21,1
v_6445,m_6,c_20,2021-02-21,4
v_6446,m_20,c_81,2021-02-21,5
v_6447,m_15,c_82,2021-02-21,2
v_6448,m_7,c_72,2021-02-21,2
v_6449,m_23,c_21,2021-02-21,5
v_6450,m_5,c_13,2021-02-21,3
v_6451,m_8,c_5,2021-02-21,1
v_6452,m_9,c_53,2021-02-21,1
v_6453,m_22,c_11,2021-02-21,5
v_6454,m_21,c_7,2021-02-21,2
v_6455,m_23,c_90,2021-02-21,2
v_6456,m_4,c_49,2021-02-21,3
v_6457,m_22,c_62,2021-02-21,5
v_6458,m_16,c_88,2021-02-21,1
v_6459,m_16,c_71,2021-02-21,3
v_6460,m_11,c_76,2021-02-21,4
v_6461,m_1,c_10,2021-02-21,2
v_6462,m_9,c_62,2021-02-21,1
v_6463,m_22,c_69,2021-02-21,1
v_6464,m_1,c_63,2021-02-22,2
v_6465,m_10,c_15,2021-02-22,4
v_6466,m_9,c_1,2021-02-22,3
v_6467,m_9,c_82,2021-02-22,4
v_6468,m_1,c_100,2021-02-22,3
v_6469,m_12,c_86,2021-02-22,0
v_6470,m_1,c_11,2021-02-22,1
v_6471,m_15,c_33,2021-02-22,4
v_6472,m_11,c_44,2021-02-23,3
v_6473,m_17,c_52,2021-02-23,3
v_6474,m_10,c_67,2021-02-23,3
v_6475,m_9,c_60,2021-02-23,4
v_6476,m_8,c_98,2021-02-23,5
v_6477,m_8,c_25,2021-02-23,4
v_6478,m_9,c_50,2021-02-23,5
v_6479,m_4,c_66,2021-02-23,1
v_6480,m_9,c_69,2021-02-23,0
v_6481,m_23,c_3,2021-02-23,4
v_6482,m_4,c_31,2021-02-23,0
v_6483,m_21,c_10,2021-02-23,1
v_6484,m_1,c_61,2021-02-23,2
v_6485,m_8,c_47,2021-02-23,0
v_6486,m_20,c_38,2021-02-23,5
v_6487,m_16,c_10,2021-02-23,5
v_6488,m_2,c_51,2021-02-23,0
v_6489,m_9,c_28,2021-02-23,3
v_6490,m_13,c_33,2021-02-23,5
v_6491,m_7,c_2,2021-02-23,3
v_6492,m_3,c_96,2021-02-24,3
v_6493,m_8,c_54,2021-02-24,2
v_6494,m_9,c_19,2021-02-24,1
v_6495,m_23,c_64,2021-02-24,2
v_6496,m_9,c_56,2021-02-24,0
v_6497,m_15,c_43,2021-02-25,5
v_6498,m_17,c_67,2021-02-25,2
v_6499,m_20,c_62,2021-02-25,1
v_6500,m_5,c_97,2021-02-25,3
v_6501,m_7,c_52,2021-02-25,5
v_6502,m_6,c_30,2021-02-25,3
v_6503,m_14,c_18,2021-02-25,5
v_6504,m_3,c_55,2021-02-25,2
v_6505,m_6,c_86,2021-02-25,3
v_6506,m_6,c_99,2021-02-25,5
v_6507,m_12,c_84,2021-02-25,4
v_6508,m_6,c_66,2021-02-25,0
v_6509,m_7,c_8,2021-02-25,2
v_6510,m_15,c_17,2021-02-25,0
v_6511,m_20,c_11,2021-02-25,0
v_6512,m_23,c_23,2021-02-25,1
v_6513,m_20,c_71,2021-02-25,4
v_6514,m_1,c_93,2021-02-25,4
v_6515,m_14,c_25,2021-02-25,3
v_6516,m_9,c_22,2021-02-26,3
v_6517,m_19,c_7,2021-02-27,5
v_6518,m_6,c_20,2021-02-27,5
v_6519,m_22,c_63,2021-02-27,0
v_6520,m_23,c_81,2021-02-27,0
v_6521,m_10,c_60,2021-02-27,2
v_6522,m_9,c_22,2021-02-27,0
v_6523,m_13,c_52,2021-02-27,2
v_6524,m_13,c_83,2021-02-27,0
v_6525,m_18,c_49,2021-02-27,4
v_6526,m_20,c_59,2021-02-27,3
v_6527,m_18,c_4,2021-02-27,3
v_6528,m_10,c_45,2021-02-27,4
v_6529,m_1,c_21,2021-02-27,5
v_6530,m_21,c_13,2021-02-27,3
v_6531,m_10,c_63,2021-02-27,0
v_6532,m_21,c_86,2021-02-27,2
v_6533,m_2,c_21,2021-02-27,4
v_6534,m_15,c_17,2021-02-27,5
v_6535,m_9,c_84,2021-02-28,0
v_6536,m_16,c_73,2021-02-28,3
v_6537,m_14,c_90,2021-02-28,0
v_6538,m_13,c_48,2021-02-28,0
v_6539,m_1,c_62,2021-02-28,5
v_6540,m_17,c_26,2021-02-28,2
v_6541,m_3,c_26,2021-02-28,2
v_6542,m_3,c_65,2021-02-28,2
v_6543,m_10,c_84,2021-03-01,4
v_6544,m_21,c_82,2021-03-01,0
v_6545,m_19,c_40,2021-03-01,2
v_6546,m_17,c_21,2021-03-01,0
v_6547,m_19,c_83,2021-03-01,2
v_6548,m_18,c_32,2021-03-01,0
v_6549,m_11,c_54,2021-03-01,1
v_6550,m_16,c_40,2021-03-01,3
v_6551,m_5,c_80,2021-03-01,0
v_6552,m_22,c_88,2021-03-01,2
v_6553,m_1,c_88,2021-03-01,2
v_6554,m_1,c_25,2021-03-01,1
v_6555,m_14,c_9,2021-03-02,4
v_6556,m_7,c_52,2021-03-02,2
v_6557,m_16,c_27,2021-03-02,4
v_6558,m_19,c_68,2021-03-02,3
v_6559,m_8,c_2,2021-03-02,3
v_6560,m_6,c_70,2021-03-02,4
v_6561,m_23,c_11,2021-03-03,2
v_6562,m_2,c_42,2021-03-03,1
v_6563,m_3,c_52,2021-03-03,3
v_6564,m_8,c_77,2021-03-03,3
v_6565,m_3,c_55,2021-03-03,2
v_6566,m_14,c_26,2021-03-03,3
v_6567,m_9,c_37,2021-03-03,0
v_6568,m_21,c_76,2021-03-03,1
v_6569,m_22,c_86,2021-03-03,1
v_6570,m_17,c_7,2021-03-03,3
v_6571,m_13,c_74,2021-03-03,2
v_6572,m_14,c_87,2021-03-03,3
v_6573,m_12,c_18,2021-03-03,5
v_6574,m_11,c_88,2021-03-03,2
v_6575,m_2,c_5,2021-03-04,2
v_6576,m_16,c_72,2021-03-04,4
v_6577,m_20,c_7,2021-03-04,3
v_6578,m_16,c_37,2021-03-04,2
v_6579,m_13,c_1,2021-03-04,5
v_6580,m_22,c_7,2021-03-04,4
v_6581,m_19,c_25,2021-03-04,2
v_6582,m_14,c_2,2021-03-04,3
v_6583,m_9,c_73,2021-03-05,1
v_6584,m_1,c_36,2021-03-05,0
v_6585,m_13,c_69,2021-03-05,5
v_6586,m_9,c_96,2021-03-05,0
v_6587,m_22,c_87,2021-03-05,0
v_6588,m_14,c_40,2021-03-05,5
v_6589,m_8,c_51,2021-03-05,5
v_6590,m_13,c_82,2021-03-05,3
v_6591,m_16,c_62,2021-03-06,3
v_6592,m_23,c_55,2021-03-06,0
v_6593,m_7,c_17,2021-03-06,3
v_6594,m_3,c_100,2021-03-06,1
v_6595,m_8,c_60,2021-03-06,4
v_6596,m_1,c_1,2021-03-06,4
v_6597,m_11,c_89,2021-03-06,0
v_6598,m_14,c_69,2021-03-07,5
v_6599,m_18,c_90,2021-03-07,1
v_6600,m_14,c_16,2021-03-07,1
v_6601,m_8,c_9,2021-03-07,4
v_6602,m_12,c_57,2021-03-07,4
v_6603,m_15,c_98,2021-03-07,3
v_6604,m_6,c_18,2021-03-07,0
v_6605,m_5,c_34,2021-03-07,1
v_6606,m_2,c_69,2021-03-07,5
v_6607,m_9,c_8,2021-03-07,5
v_6608,m_14,c_30,2021-03-07,1
v_6609,m_22,c_93,2021-03-07,2
v_6610,m_13,c_38,2021-03-07,4
v_6611,m_16,c_70,2021-03-07,0
v_6612,m_21,c_3,2021-03-07,2
v_6613,m_17,c_14,2021-03-07,1
v_6614,m_7,c_62,2021-03-07,0
v_6615,m_9,c_36,2021-03-07,3
v_6616,m_18,c_69,2021-03-07,0
v_6617,m_19,c_21,2021-03-07,3
v_6618,m_14,c_98,2021-03-07,3
v_6619,m_1,c_84,2021-03-07,2
v_6620,m_17,c_23,2021-03-07,2
v_6621,m_9,c_35,2021-03-07,2
v_6622,m_6,c_96,2021-03-07,0
v_6623,m_4,c_68,2021-03-07,1
v_6624,m_14,c_98,2021-03-08,1
v_6625,m_22,c_32,2021-03-08,0
v_6626,m_20,c_98,2021-03-08,1
v_6627,m_13,c_41,2021-03-08,1
v_6628,m_3,c_94,2021-03-08,3
v_6629,m_16,c_72,2021-03-09,3
v_6630,m_23,c_53,2021-03-09,3
v_6631,m_20,c_92,2021-03-09,1
v_6632,m_23,c_89,2021-03-09,0
v_6633,m_22,c_71,2021-03-09,2
v_6634,m_22,c_23,2021-03-09,5
v_6635,m_10,c_35,2021-03-09,2
v_6636,m_6,c_40,2021-03-09,4
v_6637,m_14,c_71,2021-03-09,2
v_6638,m_1,c_3,2021-03-09,5
v_6639,m_11,c_97,2021-03-09,2
v_6640,m_17,c_39,2021-03-09,4
v_6641,m_4,c_55,2021-03-09,5
v_6642,m_20,c_91,2021-03-09,0
v_6643,m_15,c_24,2021-03-10,0
v_6644,m_1,c_15,2021-03-10,1
v_6645,m_9,c_95,2021-03-10,1
v_6646,m_5,c_95,2021-03-10,4
v_6647,m_12,c_24,2021-03-10,3
v_6648,m_7,c_12,2021-03-10,2
v_6649,m_4,c_73,2021-03-10,0
v_6650,m_13,c_34,2021-03-11,0
v_6651,m_19,c_33,2021-03-11,4
v_6652,m_11,c_26,2021-03-11,1
v_6653,m_11,c_73,2021-03-11,4
v_6654,m_2,c_20,2021-03-11,5
v_6655,m_2,c_100,2021-03-11,1
v_6656,m_23,c_66,2021-03-11,3
v_6657,m_5,c_35,2021-03-11,0
v_6658,m_2,c_5,2021-03-11,2
v_6659,m_16,c_85,2021-03-11,5
v_6660,m_15,c_1,2021-03-11,2
v_6661,m_4,c_54,2021-03-12,3
v_6662,m_19,c_64,2021-03-12,1
v_6663,m_6,c_76,2021-03-12,4
v_6664,m_3,c_66,2021-03-12,4
v_6665,m_3,c_43,2021-03-12,4
v_6666,m_7,c_33,2021-03-12,2
v_6667,m_11,c_77,2021-03-12,0
v_6668,m_22,c_9,2021-03-12,4
v_6669,m_13,c_60,2021-03-12,3
v_6670,m_22,c_65,2021-03-12,2
v_6671,m_19,c_56,2021-03-12,2
v_6672,m_5,c_1,2021-03-12,4
v_6673,m_2,c_46,2021-03-12,5
v_6674,m_19,c_8,2021-03-12,4
v_6675,m_5,c_99,2021-03-12,1
v_6676,m_14,c_6,2021-03-12,3
v_6677,m_18,c_42,2021-03-12,1
v_6678,m_8,c_43,2021-03-12,2
v_6679,m_10,c_81,2021-03-12,1
v_6680,m_12,c_39,2021-03-12,5
v_6681,m_13,c_37,2021-03-12,5
v_6682,m_15,c_50,2021-03-12,3
v_6683,m_21,c_90,2021-03-12,5
v_6684,m_2,c_80,2021-03-12,1
v_6685,m_22,c_96,2021-03-12,4
v_6686,m_5,c_66,2021-03-12,1
v_6687,m_6,c_39,2021-03-12,4
v_6688,m_8,c_59,2021-03-12,1
v_6689,m_21,c_35,2021-03-12,1
v_6690,m_19,c_100,2021-03-13,1
v_6691,m_12,c_74,2021-03-13,2
v_6692,m_6,c_58,2021-03-13,3
v_6693,m_10,c_66,2021-03-13,5
v_6694,m_22,c_90,2021-03-13,3
v_6695,m_18,c_64,2021-03-13,0
v_6696,m_4,c_68,2021-03-13,5
v_6697,m_4,c_9,2021-03-13,1
v_6698,m_19,c_4,2021-03-13,0
v_6699,m_23,c_68,2021-03-13,3
v_6700,m_14,c_41,2021-03-13,0
v_6701,m_21,c_41,2021-03-13,0
v_6702,m_6,c_11,2021-03-14,1
v_6703,m_8,c_45,2021-03-14,4
v_6704,m_9,c_6,2021-03-14,1
v_6705,m_8,c_22,2021-03-14,5
v_6706,m_6,c_58,2021-03-14,2
v_6707,m_12,c_12,2021-03-14,4
v_6708,m_3,c_48,2021-03-14,3
v_6709,m_23,c_98,2021-03-14,0
v_6710,m_13,c_54,2021-03-14,2
v_6711,m_14,c_91,2021-03-14,5
v_6712,m_18,c_59,2021-03-14,0
v_6713,m_2,c_3,2021-03-14,0
v_6714,m_20,c_60,2021-03-14,3
v_6715,m_17,c_56,2021-03-14,1
v_6716,m_11,c_7,2021-03-14,3
v_6717,m_6,c_38,2021-03-14,3
v_6718,m_6,c_9,2021-03-14,2
v_6719,m_20,c_41,2021-03-14,3
v_6720,m_4,c_59,2021-03-14,3
v_6721,m_18,c_6,2021-03-14,5
v_6722,m_10,c_26,2021-03-14,0
v_6723,m_22,c_76,2021-03-14,4
v_6724,m_18,c_6,2021-03-14,1
v_6725,m_4,c_2,2021-03-14,4
v_6726,m_10,c_63,2021-03-14,3
v_6727,m_21,c_82,2021-03-15,3
v_6728,m_18,c_77,2021-03-15,3
v_6729,m_2,c_37,2021-03-15,5
v_6730,m_13,c_92,2021-03-15,4
v_6731,m_12,c_68,2021-03-15,1
v_6732,m_3,c_96,2021-03-15,3
v_6733,m_15,c_29,2021-03-15,5
v_6734,m_20,c_33,2021-03-15,3
v_6735,m_2,c_58,2021-03-15,0
v_6736,m_15,c_95,2021-03-15,3
v_6737,m_6,c_70,2021-03-15,1
v_6738,m_20,c_45,2021-03-15,0
v_6739,m_12,c_80,2021-03-15,0
v_6740,m_11,c_64,2021-03-15,2
v_6741,m_8,c_2,2021-03-15,4
v_6742,m_21,c_14,2021-03-15,0
v_6743,m_7,c_5,2021-03-15,0
v_6744,m_7,c_45,2021-03-15,4
v_6745,m_8,c_45,2021-03-15,3
v_6746,m_7,c_47,2021-03-15,5
v_6747,m_23,c_61,2021-03-15,5
v_6748,m_2,c_13,2021-03-15,5
v_6749,m_6,c_35,2021-03-16,0
v_6750,m_14,c_32,2021-03-17,3
v_6751,m_14,c_57,2021-03-17,0
v_6752,m_11,c_12,2021-03-17,5
v_6753,m_3,c_49,2021-03-18,1
v_6754,m_18,c_4,2021-03-18,3
v_6755,m_11,c_98,2021-03-18,2
v_6756,m_16,c_20,2021-03-18,4
v_6757,m_6,c_77,2021-03-18,4
v_6758,m_9,c_100,2021-03-18,1
v_6759,m_14,c_28,2021-03-18,0
v_6760,m_4,c_46,2021-03-18,3
v_6761,m_3,c_41,2021-03-18,3
v_6762,m_17,c_81,2021-03-18,1
v_6763,m_1,c_12,2021-03-18,2
v_6764,m_12,c_70,2021-03-18,2
v_6765,m_18,c_13,2021-03-18,3
v_6766,m_11,c_74,2021-03-18,0
v_6767,m_12,c_4,2021-03-18,0
v_6768,m_8,c_7,2021-03-18,0
v_6769,m_11,c_30,2021-03-18,5
v_6770,m_3,c_5,2021-03-18,0
v_6771,m_21,c_14,2021-03-18,0
v_6772,m_13,c_9,2021-03-18,4
v_6773,m_5,c_71,2021-03-18,4
v_6774,m_3,c_64,2021-03-18,3
v_6775,m_7,c_57,2021-03-18,2
v_6776,m_17,c_81,2021-03-18,4
v_6777,m_18,c_81,2021-03-18,0
v_6778,m_19,c_66,2021-03-18,1
v_6779,m_23,c_64,2021-03-18,0
v_6780,m_6,c_43,2021-03-19,4
v_6781,m_3,c_80,2021-03-19,0
v_6782,m_23,c_46,2021-03-19,2
v_6783,m_8,c_22,2021-03-19,5
v_6784,m_2,c_95,2021-03-19,2
v_6785,m_16,c_17,2021-03-19,1
v_6786,m_12,c_52,2021-03-19,2
v_6787,m_19,c_4,2021-03-19,3
v_6788,m_11,c_5,2021-03-19,4
v_6789,m_21,c_29,2021-03-19,4
v_6790,m_23,c_65,2021-03-19,4
v_6791,m_7,c_51,2021-03-19,1
v_6792,m_7,c_44,2021-03-19,1
v_6793,m_3,c_19,2021-03-19,3
v_6794,m_23,c_58,2021-03-19,5
v_6795,m_23,c_45,2021-03-19,3
v_6796,m_6,c_9,2021-03-19,4
v_6797,m_11,c_30,2021-03-19,4
v_6798,m_19,c_88,2021-03-19,4
v_6799,m_22,c_80,2021-03-19,2
v_6800,m_21,c_14,2021-03-19,0
v_6801,m_1,c_68,2021-03-19,1
v_6802,m_20,c_41,2021-03-19,1
v_6803,m_23,c_23,2021-03-19,2
v_6804,m_7,c_10,2021-03-19,2
v_6805,m_3,c_64,2021-03-19,0
v_6806,m_10,c_32,2021-03-19,1
v_6807,m_4,c_19,2021-03-19,3
v_6808,m_22,c_70,2021-03-19,4
v_6809,m_16,c_81,2021-03-19,0
v_6810,m_21,c_81,2021-03-20,3
v_6811,m_11,c_93,2021-03-20,2
v_6812,m_15,c_2,2021-03-20,3
v_6813,m_12,c_87,2021-03-20,1
v_6814,m_21,c_21,2021-03-20,0
v_6815,m_9,c_79,2021-03-20,5
v_6816,m_19,c_20,2021-03-20,1
v_6817,m_9,c_100,2021-03-20,5
v_6818,m_15,c_10,2021-03-20,0
v_6819,m_15,c_54,2021-03-20,0
v_6820,m_22,c_22,2021-03-20,0
v_6821,m_18,c_46,2021-03-20,4
v_6822,m_10,c_57,2021-03-20,4
v_6823,m_9,c_34,2021-03-20,4
v_6824,m_13,c_32,2021-03-20,5
v_6825,m_15,c_62,2021-03-20,2
v_6826,m_10,c_95,2021-03-20,2
v_6827,m_2,c_47,2021-03-20,4
v_6828,m_23,c_20,2021-03-20,1
v_6829,m_12,c_36,2021-03-20,0
v_6830,m_16,c_24,2021-03-20,3
v_6831,m_8,c_94,2021-03-20,0
v_6832,m_16,c_10,2021-03-20,1
v_6833,m_3,c_100,2021-03-20,1
v_6834,m_5,c_77,2021-03-20,1
v_6835,m_10,c_9,2021-03-20,4
v_6836,m_21,c_95,2021-03-20,1
v_6837,m_5,c_41,2021-03-20,4
v_6838,m_11,c_47,2021-03-21,5
v_6839,m_16,c_27,2021-03-22,5
v_6840,m_2,c_89,2021-03-22,4
v_6841,m_13,c_4,2021-03-22,5
v_6842,m_18,c_68,2021-03-22,1
v_6843,m_1,c_87,2021-03-22,4
v_6844,m_12,c_77,2021-03-22,5
v_6845,m_7,c_3,2021-03-22,1
v_6846,m_22,c_97,2021-03-22,3
v_6847,m_7,c_83,2021-03-22,4
v_6848,m_6,c_31,2021-03-22,2
v_6849,m_10,c_30,2021-03-22,2
v_6850,m_13,c_38,2021-03-22,5
v_6851,m_10,c_97,2021-03-22,0
v_6852,m_6,c_25,2021-03-22,4
v_6853,m_20,c_64,2021-03-22,1
v_6854,m_3,c_84,2021-03-22,2
